energy,beta
20,1.5476e-10
21,1.2575e-10
22,1.0317e-10
23,8.5394e-11
24,7.1223e-11
25,5.9843e-11
26,5.0609e-11
27,4.3072e-11
28,3.6872e-11
29,3.1731e-11
30,2.7445e-11
31,2.3847e-11
32,2.0813e-11
33,1.8241e-11
34,1.6048e-11
35,1.4171e-11
36,1.2556e-11
37,1.1162e-11
38,9.9533e-12
39,8.9023e-12
40,7.9847e-12
41,7.1798e-12
42,6.4726e-12
43,5.8493e-12
44,5.2984e-12
45,4.8099e-12
46,4.3755e-12
47,3.9884e-12
48,3.6426e-12
49,3.333e-12
50,3.0552e-12
51,2.8052e-12
52,2.5798e-12
53,2.3764e-12
54,2.1923e-12
55,2.0256e-12
56,1.8741e-12
57,1.7364e-12
58,1.6109e-12
59,1.4965e-12
60,1.3918e-12
61,1.296e-12
62,1.2082e-12
63,1.1276e-12
64,1.0535e-12
65,9.8533e-13
66,9.2251e-13
67,8.6455e-13
68,8.1101e-13
69,7.6149e-13
70,7.1565e-13
71,6.7316e-13
72,6.3374e-13
73,5.9713e-13
74,5.6309e-13
75,5.314e-13
76,5.0189e-13
77,4.7437e-13
78,4.4868e-13
79,4.2467e-13
80,4.0225e-13
